library	index_in_dat	sample	sample_accession	source	library_type	population	latitude	longitude	region	sex	coverage	freemix	capmq	insert_size_average	array_non_reference_discordance	library_alias_ENA
HGDP00666	3486	HGDP00666	ERS474712	sanger	PCRfree	Sardinian	40.0	9.0	EUROPE	M	33.83	0.00723	21	423.8	0.054698	
LP6005441-DNA_D11	4021	HGDP01078	ERS1042170	sgdp	PCRfree	Sardinian	40.0	9.0	EUROPE	F	34.14	0.0003	35	359.1	0.030525	
LP6005443-DNA_F01	4080	HGDP01333	ERS1255106	sgdp	PCRfree	She	27.0	119.0	EAST_ASIA	M	48.08	0.00012	39	313.9	0.034249	
HGDP01328	3914	HGDP01328	ERS474219	sanger	PCRfree	She	27.0	119.0	EAST_ASIA	M	36.0	0.01398	20	448.3	0.07332	
HGDP01332	3918	HGDP01332	ERS474223	sanger	PCRfree	She	27.0	119.0	EAST_ASIA	M	32.36	0.00927	20	442.8	0.06405	
HGDP01327	3913	HGDP01327	ERS474218	sanger	PCRfree	She	27.0	119.0	EAST_ASIA	M	33.86	0.00943	20	439.5	0.052068	
HGDP00179	3257	HGDP00179	ERS474468	sanger	PCRfree	Sindhi	25.5	69.0	CENTRAL_SOUTH_ASIA	M	38.12	0.00873	21	435.5	0.054274	
HGDP00197	3265	HGDP00197	ERS474477	sanger	PCRfree	Sindhi	25.5	69.0	CENTRAL_SOUTH_ASIA	M	33.28	0.0128	20	492.1	0.077916	
HGDP00163	3249	HGDP00163	ERS474460	sanger	PCR	Sindhi	25.5	69.0	CENTRAL_SOUTH_ASIA	M	35.78	0.00093	30	486.6	0.057068	11318137.0
HGDP00201	3267	HGDP00201	ERS474479	sanger	PCRfree	Sindhi	25.5	69.0	CENTRAL_SOUTH_ASIA	M	35.9	0.01485	20	441.3	0.065768	
HGDP00837	3615	HGDP00837	ERS474972	sanger	PCR	Surui	-11.0	-62.0	AMERICA	M	36.74	0.00042	34	453.5	0.029731	11318175.0
HGDP00849	3619	HGDP00849	ERS474977	sanger	PCRfree	Surui	-11.0	-62.0	AMERICA	M	35.02	0.00544	23	400.1	0.035825	
HGDP00832	3614	HGDP00832	ERS474971	sanger	PCRfree	Surui	-11.0	-62.0	AMERICA	F	37.9	0.00936	20	452.6	0.034619	
LP6005441-DNA_B12	4000	HGDP00852	ERS1042172	sgdp	PCRfree	Surui	-11.0	-62.0	AMERICA	F	34.96	0.00188	27	348.6	0.029527	
LP6005441-DNA_D12	4022	HGDP01355	ERS1042173	sgdp	PCRfree	Tu	36.0	101.0	EAST_ASIA	F	38.06	0.00144	28	319.1	0.03626	
HGDP01348	3928	HGDP01348	ERS474259	sanger	PCRfree	Tu	36.0	101.0	EAST_ASIA	M	34.24	0.00694	22	420.0	0.049406	
HGDP01353	3932	HGDP01353	ERS474264	sanger	PCRfree	Tu	36.0	101.0	EAST_ASIA	M	37.46	0.0099	20	429.6	0.04833	
HGDP01347	3927	HGDP01347	ERS474258	sanger	PCRfree	Tu	36.0	101.0	EAST_ASIA	M	30.5	0.01487	20	420.0	0.111948	
LP6005441-DNA_F12	4041	HGDP01098	ERS1042278	sgdp	PCRfree	Tujia	29.0	109.0	EAST_ASIA	F	38.74	0.0006	32	321.3	0.031916	
HGDP01099	3785	HGDP01099	ERS474252	sanger	PCR	Tujia	29.0	109.0	EAST_ASIA	M	33.44	0.00425	24	477.8	0.060226	11318108.0
HGDP01103	3789	HGDP01103	ERS474256	sanger	PCRfree	Tujia	29.0	109.0	EAST_ASIA	M	38.19	0.00832	21	429.7	0.050519	
HGDP01096	3783	HGDP01096	ERS474249	sanger	PCR	Tujia	29.0	109.0	EAST_ASIA	M	33.33	0.00076	31	446.2	0.045098	11318106.0
HGDP01162	3797	HGDP01162	ERS474704	sanger	PCRfree	Tuscan	43.0	11.0	EUROPE	M	59.63	0.00687	22	462.5	0.037563	
HGDP01169	3801	HGDP01169	ERS474710	sanger	PCRfree	Tuscan	43.0	11.0	EUROPE	F	39.04	0.00693	22	438.6	0.039973	
HGDP01161	3796	HGDP01161	ERS474703	sanger	PCRfree	Tuscan	43.0	11.0	EUROPE	M	31.44	0.00966	20	440.7	0.071859	
LP6005441-DNA_H12	4061	HGDP01168	ERS1042279	sgdp	PCRfree	Tuscan	43.0	11.0	EUROPE	F	39.07	0.00086	30	316.6	0.033312	
HGDP01299	3897	HGDP01299	ERS474381	sanger	PCR	Uygur	44.0	81.0	CENTRAL_SOUTH_ASIA	M	34.68	0.00053	33	457.6	0.039634	11318125.0
HGDP01301	3898	HGDP01301	ERS1063426	sanger	PCRfree	Uygur	44.0	81.0	CENTRAL_SOUTH_ASIA	M	31.49	0.01168	20	438.7	0.075485	
LP6005442-DNA_B01	4063	HGDP01306	ERS1042281	sgdp	PCRfree	Uygur	44.0	81.0	CENTRAL_SOUTH_ASIA	F	38.28	0.00083	30	304.5	0.031546	
HGDP01302	3899	HGDP01302	ERS1063427	sanger	PCRfree	Uygur	44.0	81.0	CENTRAL_SOUTH_ASIA	M	37.1	0.0058	22	434.3	0.042434	
LP6005442-DNA_D01	4065	HGDP01250	ERS1042282	sgdp	PCRfree	Xibo	43.5	81.5	EAST_ASIA	M	36.2	0.00028	35	328.6	0.02684	
HGDP01244	3855	HGDP01244	ERS474269	sanger	PCR	Xibo	43.5	81.5	EAST_ASIA	M	28.33	0.00048	33	477.7	0.05515	11318110.0
HGDP01249	3859	HGDP01249	ERS474274	sanger	PCRfree	Xibo	43.5	81.5	EAST_ASIA	M	32.86	0.00857	21	437.9	0.058376	
HGDP01243	3854	HGDP01243	ERS474268	sanger	PCR	Xibo	43.5	81.5	EAST_ASIA	M	33.72	0.00062	32	501.2	0.040379	11318109.0
HGDP00964	3712	HGDP00964	ERS474373	sanger	PCRfree	Yakut	63.0	129.5	EAST_ASIA	M	30.1	0.01039	20	446.5	0.075681	
HGDP00958	3706	HGDP00958	ERS474367	sanger	PCRfree	Yakut	63.0	129.5	EAST_ASIA	M	45.08	0.01381	20	452.5	0.144094	
HGDP00945	3695	HGDP00945	ERS474354	sanger	PCR	Yakut	63.0	129.5	EAST_ASIA	M	36.48	0.00069	32	492.0	0.037908	11318121.0
HGDP00957	3705	HGDP00957	ERS474366	sanger	PCRfree	Yakut	63.0	129.5	EAST_ASIA	F	38.75	0.01539	20	466.9	0.049355	
LP6005442-DNA_G01	4067	HGDP01179	ERS1255048	sgdp	PCRfree	Yi	28.0	103.0	EAST_ASIA	M	42.15	0.00605	22	318.5	0.048518	
HGDP01181	3807	HGDP01181	ERS474230	sanger	PCRfree	Yi	28.0	103.0	EAST_ASIA	M	31.58	0.00995	20	420.4	0.056543	
HGDP01185	3811	HGDP01185	ERS474234	sanger	PCRfree	Yi	28.0	103.0	EAST_ASIA	M	33.67	0.00831	21	430.2	0.055969	
HGDP01180	3806	HGDP01180	ERS474229	sanger	PCRfree	Yi	28.0	103.0	EAST_ASIA	M	32.11	0.00972	20	432.5	0.062758	
HGDP00920	3677	HGDP00920	ERS474103	sanger	PCR	Yoruba	8.0	5.0	AFRICA	F	32.63	0.00056	33	487.9	0.1032	11140657.0
HGDP00933	3684	HGDP00933	ERS474113	sanger	PCR	Yoruba	8.0	5.0	AFRICA	F	34.55	0.00041	34	497.8	0.106252	11140664.0
HGDP00940	3690	HGDP00940	ERS474120	sanger	PCR	Yoruba	8.0	5.0	AFRICA	M	36.3	0.00056	33	478.2	0.094631	11140670.0
HGDP00924	3678	HGDP00924	ERS474104	sanger	PCR	Yoruba	8.0	5.0	AFRICA	F	32.05	0.00061	32	495.3	0.101818	11140658.0
